subject,stim,rt,choice,conf
0,LL,1210,1,HC
0,WL,1630,1,LC
0,WW,1030,1,HC
0,WL,2770,1,LC
0,WW,1140,0,HC
0,WL,1150,1,LC
0,LL,2000,1,HC
0,WL,1040,0,LC
0,WW,857,1,HC
0,WL,1500,0,LC
0,LL,1720,1,HC
0,WL,656,0,LC
0,WW,1720,1,HC
0,LL,1720,1,HC
0,WL,1360,1,LC
0,WL,1570,0,LC
0,LL,2440,0,HC
0,WL,2360,0,LC
0,WL,1380,1,LC
0,WL,1010,1,LC
0,LL,987,0,HC
0,WL,1010,0,LC
0,WW,2380,1,HC
0,WL,1510,0,LC
0,LL,1170,0,HC
0,WW,1880,0,HC
0,WL,1050,1,LC
0,WL,3250,0,LC
0,WL,1530,1,LC
0,WW,972,1,HC
0,LL,2840,0,HC
0,WL,1600,0,LC
0,WL,2740,1,LC
0,WW,2300,1,HC
0,LL,2350,1,HC
0,WL,1530,1,LC
0,WW,1700,1,HC
0,WL,661,1,LC
0,LL,1460,1,HC
0,WW,1960,1,HC
0,LL,2760,1,HC
0,WL,2170,1,LC
0,WL,782,1,LC
0,WL,3210,0,LC
0,WL,1910,1,LC
0,LL,2150,0,HC
0,WW,3150,0,HC
0,WL,1480,1,LC
0,WL,1350,1,LC
0,WW,1380,0,HC
0,LL,1380,0,HC
0,WL,1540,1,LC
0,LL,3170,1,HC
0,WW,946,1,HC
0,WL,2240,1,LC
0,LL,3830,0,HC
0,WL,2230,0,LC
0,WL,2500,0,LC
0,WW,1200,1,HC
0,WL,1650,1,LC
0,WL,1590,0,LC
0,WW,1200,1,HC
0,LL,1490,0,HC
0,WL,1940,0,LC
0,WW,1560,0,HC
0,WL,1830,0,LC
0,LL,886,1,HC
0,WL,714,0,LC
0,WW,1840,0,HC
0,WL,632,1,LC
0,LL,968,1,HC
0,WL,2280,0,LC
0,WL,1980,0,LC
0,LL,841,1,HC
0,WW,1960,0,HC
0,WL,1890,0,LC
0,WW,2350,0,HC
0,WL,2080,0,LC
0,LL,2870,0,HC
0,WW,3230,0,HC
0,LL,3660,0,HC
0,WL,907,0,LC
0,WL,2190,1,LC
0,WL,1410,0,LC
0,WL,1160,0,LC
0,WW,1980,0,HC
0,WL,947,0,LC
0,WL,1050,0,LC
0,LL,602,0,HC
0,WW,947,1,HC
0,LL,1250,0,HC
0,WL,1610,0,LC
0,WW,950,1,HC
0,WL,1920,0,LC
0,WW,2170,0,HC
0,LL,1980,0,HC
0,WL,1470,1,LC
0,WL,870,1,LC
0,WW,1100,0,HC
0,WL,746,1,LC
0,WL,1630,1,LC
0,LL,2200,1,HC
0,WL,3370,1,LC
0,WW,2720,0,HC
0,WW,1040,0,HC
0,LL,1930,0,HC
0,WL,1130,1,LC
0,WL,2030,0,LC
0,WW,1950,1,HC
0,LL,1500,1,HC
0,WL,1450,1,LC
0,WL,965,0,LC
0,WW,1870,0,HC
0,LL,1650,0,HC
0,WL,2780,1,LC
0,WL,994,0,LC
0,WL,1130,1,LC
0,LL,1560,1,HC
0,WL,1110,1,LC
0,WL,1660,0,LC
0,WL,1370,0,LC
0,LL,1150,1,HC
0,WW,3860,1,HC
0,WL,1650,0,LC
0,WL,2630,0,LC
0,LL,814,1,HC
0,LL,1080,1,HC
0,WL,2520,1,LC
0,WW,2030,1,HC
0,WL,833,1,LC
0,WL,3360,1,LC
0,LL,1590,0,HC
0,WW,1630,1,HC
0,WL,1240,0,LC
0,WL,2700,0,LC
0,WL,1730,1,LC
0,WL,2860,0,LC
0,WW,1950,0,HC
0,LL,2020,1,HC
0,LL,1360,1,HC
0,WW,2070,0,HC
0,WL,2190,0,LC
0,WL,1250,1,LC
0,WL,1600,0,LC
0,WW,1750,1,HC
0,WL,1360,1,LC
0,LL,1150,1,HC
0,WL,2200,0,LC
0,WW,1140,0,HC
0,LL,2340,1,HC
0,WL,2250,0,LC
0,LL,1230,1,HC
0,WW,1920,1,HC
0,WL,2020,1,LC
0,WW,2690,0,HC
0,WL,2660,0,LC
0,WL,2400,0,LC
0,LL,2380,1,HC
0,WL,3150,1,LC
0,WW,1310,0,HC
0,LL,2260,1,HC
0,WL,1840,1,LC
0,WL,1710,1,LC
0,WW,1820,1,HC
0,LL,1980,1,HC
0,WL,2030,1,LC
0,WW,1150,0,HC
0,LL,3520,0,HC
0,WL,1280,1,LC
0,WL,1380,0,LC
0,WL,1990,1,LC
0,WW,3290,0,HC
0,WL,1100,1,LC
0,LL,1740,1,HC
0,WL,1820,1,LC
0,WL,1150,0,LC
0,LL,1980,0,HC
0,WW,1680,0,HC
0,WL,1670,1,LC
0,WW,2240,1,HC
0,WL,1640,1,LC
0,LL,1500,1,HC
0,WL,1160,1,LC
0,WL,1260,1,LC
0,LL,2520,1,HC
0,WL,2310,1,LC
0,WW,982,1,HC
0,WW,2870,0,HC
0,LL,3820,1,HC
0,WL,1390,1,LC
0,WL,1550,1,LC
0,WL,940,1,LC
0,WL,1780,1,LC
0,LL,3510,1,HC
0,WW,2030,1,HC
0,WL,2750,1,LC
0,LL,1170,0,HC
0,WW,1060,1,HC
0,WL,3420,1,LC
0,WL,2630,0,LC
0,WW,940,1,HC
0,LL,3220,0,HC
0,WL,1160,1,LC
0,WL,2430,0,LC
0,WW,1100,1,HC
0,WW,2130,0,HC
0,LL,3020,0,HC
0,WL,987,1,LC
0,WL,928,0,LC
0,WW,3070,0,HC
0,LL,1710,0,HC
0,WL,1400,1,LC
0,WL,1800,1,LC
0,WW,1160,0,HC
0,LL,1020,0,HC
0,WL,1490,1,LC
0,WL,2080,1,LC
0,LL,1170,0,HC
0,WL,1660,1,LC
0,WL,1620,1,LC
0,WW,675,0,HC
0,WW,1530,0,HC
0,LL,1950,0,HC
0,WL,2110,1,LC
0,WL,1780,1,LC
0,WW,888,1,HC
0,LL,1840,1,HC
0,WL,847,1,LC
0,WL,1380,1,LC
0,WL,1470,1,LC
0,LL,1870,0,HC
0,WW,2560,1,HC
0,LL,2310,0,HC
0,WL,1700,0,LC
0,WL,1290,1,LC
0,WL,1720,1,LC
0,LL,1660,1,HC
0,WW,1240,0,HC
0,WL,804,0,LC
0,WL,3130,1,LC
0,WL,1340,0,LC
0,WW,1040,1,HC
0,LL,935,0,HC
0,WL,978,1,LC
0,WW,1240,1,HC
0,WL,704,0,LC
0,LL,1710,1,HC
0,WL,953,1,LC
0,WL,1240,0,LC
0,WW,1810,1,HC
0,LL,1490,0,HC
0,WL,2090,1,LC
0,WW,827,1,HC
0,WL,744,0,LC
0,LL,2030,0,HC
0,WW,1190,1,HC
0,WL,469,1,LC
0,WL,945,0,LC
0,WW,1030,1,HC
0,WL,773,0,LC
0,WL,1240,1,LC
0,LL,1080,1,HC
0,LL,1450,0,HC
0,WL,1430,1,LC
0,WW,2310,1,HC
0,WL,1180,1,LC
0,WW,1390,0,HC
0,WL,1330,0,LC
0,WL,1580,1,LC
0,WL,1590,1,LC
0,LL,848,0,HC
0,WL,910,1,LC
0,WW,1660,0,HC
0,WL,1460,1,LC
0,LL,2010,1,HC
0,WL,1750,1,LC
0,WW,2370,1,HC
0,LL,1810,0,HC
0,WL,1760,0,LC
0,WW,2830,1,HC
0,WL,2870,1,LC
0,LL,1200,1,HC
0,WW,2190,0,HC
0,WL,1260,1,LC
0,WL,1520,1,LC
0,WW,2100,0,HC
0,LL,1550,0,HC
0,LL,1920,0,HC
0,WL,1350,0,LC
0,WL,1770,1,LC
0,WW,796,1,HC
0,LL,1230,0,HC
0,WW,2600,1,HC
0,WL,1550,0,LC
0,WL,2130,1,LC
0,LL,1160,0,HC
0,WL,2000,0,LC
0,WW,1500,1,HC
1,WL,1510,1,LC
1,WL,670,1,LC
1,WW,2090,0,HC
1,LL,2120,1,HC
1,WL,722,1,LC
1,WL,931,1,LC
1,LL,2370,1,HC
1,WL,1360,1,LC
1,WL,1560,1,LC
1,LL,1190,1,HC
1,WW,1300,0,HC
1,WL,1690,1,LC
1,WW,925,1,HC
1,WL,1850,1,LC
1,LL,1490,1,HC
1,WL,757,1,LC
1,WW,1380,1,HC
1,LL,818,0,HC
1,WL,846,1,LC
1,WW,2220,1,HC
1,WL,2470,1,LC
1,LL,2050,0,HC
1,WL,1300,1,LC
1,WL,1490,1,LC
1,LL,2390,1,HC
1,WW,1340,1,HC
1,WW,804,1,HC
1,LL,3310,1,HC
1,WL,826,1,LC
1,WL,2740,1,LC
1,WW,611,0,HC
1,WL,641,1,LC
1,WL,676,1,LC
1,LL,3010,1,HC
1,LL,883,1,HC
1,WW,3110,0,HC
1,WL,1620,1,LC
1,WL,976,1,LC
1,WL,1360,1,LC
1,WW,2280,0,HC
1,LL,1400,1,HC
1,WL,1030,1,LC
1,WW,908,0,HC
1,LL,1250,1,HC
1,WL,709,0,LC
1,WL,661,1,LC
1,WL,992,1,LC
1,LL,1460,1,HC
1,WW,920,1,HC
1,WL,1690,0,LC
1,WL,901,1,LC
1,WW,1460,1,HC
1,WL,1690,1,LC
1,LL,1770,1,HC
1,LL,2150,1,HC
1,WW,656,1,HC
1,WL,865,1,LC
1,WL,1740,0,LC
1,WL,1520,1,LC
1,LL,2690,1,HC
1,WL,1420,1,LC
1,WL,2120,1,LC
1,WL,3030,1,LC
1,WW,2590,1,HC
1,LL,1120,1,HC
1,WL,1450,1,LC
1,WL,1150,1,LC
1,LL,1700,1,HC
1,WW,1320,1,HC
1,WL,1130,0,LC
1,LL,871,1,HC
1,WW,1640,1,HC
1,WL,1260,1,LC
1,LL,1110,1,HC
1,WL,810,1,LC
1,WL,1520,1,LC
1,WL,769,1,LC
1,WW,1410,1,HC
1,LL,2120,1,HC
1,WL,1040,1,LC
1,LL,867,1,HC
1,WW,1860,1,HC
1,WL,2800,1,LC
1,LL,1200,1,HC
1,WW,3210,0,HC
1,WL,953,1,LC
1,WL,1720,1,LC
1,WL,1220,1,LC
1,WL,1290,1,LC
1,LL,2150,1,HC
1,WW,633,0,HC
1,WW,1300,1,HC
1,WL,1420,1,LC
1,WL,975,1,LC
1,LL,2670,0,HC
1,WW,1840,1,HC
1,WL,1680,1,LC
1,LL,2340,1,HC
1,LL,1330,0,HC
1,WL,1920,1,LC
1,WL,1230,1,LC
1,WW,1280,1,HC
1,WL,3020,0,LC
1,WW,1500,1,HC
1,LL,1980,0,HC
1,WL,2060,1,LC
1,WL,657,1,LC
1,WL,1230,1,LC
1,LL,1500,0,HC
1,WL,1290,1,LC
1,WW,654,0,HC
1,WL,657,1,LC
1,LL,1180,0,HC
1,WW,626,0,HC
1,LL,1290,0,HC
1,WL,713,1,LC
1,WL,956,1,LC
1,WW,2030,0,HC
1,WL,2430,1,LC
1,LL,1160,0,HC
1,WL,2000,0,LC
1,LL,1080,1,HC
1,WL,2460,1,LC
1,WL,1380,1,LC
1,WW,1770,0,HC
1,WL,1350,1,LC
1,WW,1070,0,HC
1,LL,892,1,HC
1,WL,741,1,LC
1,LL,1230,1,HC
1,WL,1060,1,LC
1,WW,513,0,HC
1,WL,961,1,LC
1,WW,1610,0,HC
1,LL,739,1,HC
1,WL,2130,1,LC
1,WW,708,1,HC
1,WL,1300,0,LC
1,WL,1270,1,LC
1,LL,1430,0,HC
1,WL,1410,1,LC
1,WW,715,1,HC
1,WL,1490,1,LC
1,WL,505,1,LC
1,LL,1710,1,HC
1,WW,1440,1,HC
1,WL,898,1,LC
